City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Saint Paul Harbor,1,US,1586208081,34,57.79,-152.41,35.6,16.11
Hermanus,16,ZA,1586208082,71,-34.42,19.23,55.99,5.99
Morondava,11,MG,1586208082,82,-20.28,44.28,77.16,2.55
Busselton,0,AU,1586207934,39,-33.65,115.33,64,16.44
Rikitea,62,PF,1586208082,63,-23.12,-134.97,76.12,5.21
Bluff,82,NZ,1586208082,96,-46.6,168.33,53.01,1.99
Bethanien,76,NA,1586208082,41,-26.5,17.16,59.61,9.62
La Macarena,100,CO,1586208082,87,2.18,-73.78,75.63,1.68
Albany,20,US,1586208082,18,42.6,-73.97,62.01,17.22
Garoowe,0,SO,1586208082,59,8.41,48.48,76.59,14.12
Ushuaia,75,AR,1586208078,50,-54.8,-68.3,57.2,16.11
Port Alfred,55,ZA,1586208082,64,-33.59,26.89,61.21,20.89
Butaritari,100,KI,1586208083,71,3.07,172.79,82.69,1.77
Castro,81,BR,1586208083,71,-24.79,-50.01,67.71,4.68
Kununurra,95,AU,1586208083,69,-15.77,128.73,78.8,3.36
Tura,0,IN,1586207496,26,25.52,90.22,71.67,6.85
Punta Arenas,100,CL,1586208020,62,-53.15,-70.92,53.6,17.22
Atuona,5,PF,1586208083,76,-9.8,-139.03,82.26,15.39
Bhag,21,PK,1586208083,23,29.04,67.82,84.16,7.7
Khatanga,100,RU,1586208083,96,71.97,102.5,25.77,4.59
Bambous Virieux,40,MU,1586208083,83,-20.34,57.76,78.01,8.05
Gravdal,100,NO,1586208083,78,68.12,13.5,40.96,12.19
Avarua,75,CK,1586208083,88,-21.21,-159.78,78.8,5.82
Pocatello,75,US,1586208083,57,42.87,-112.45,52,13.87
Tuatapere,43,NZ,1586208083,96,-46.13,167.68,53.01,1.99
Vaini,90,TO,1586208083,74,-21.2,-175.2,78.8,9.17
Kamogawa,75,JP,1586208083,46,35.1,140.1,51.01,11.41
Mombetsu,51,JP,1586208084,89,44.35,143.35,33.67,11.95
Broome,1,US,1586207937,16,42.25,-75.83,59,13.87
Inírida,100,CO,1586208084,86,3.87,-67.92,83.7,2.42
Cuyo,9,PH,1586208084,72,10.85,121.01,81.9,11.5
Qaanaaq,0,GL,1586208084,75,77.48,-69.36,8.8,2.37
Sorong,72,ID,1586208084,87,-0.88,131.25,75.7,2.51
Nanortalik,0,GL,1586208084,87,60.14,-45.24,28.31,27.76
Hilo,20,US,1586208084,69,19.73,-155.09,80.6,11.41
President Roxas,20,PH,1586208084,88,7.15,125.06,77,4.7
Nikolskoye,94,RU,1586208084,80,59.7,30.79,36,6.71
Lebu,0,CL,1586208084,57,-37.62,-73.65,57.07,22.19
Rehoboth,0,NA,1586208084,18,-23.32,17.08,63.97,7.49
Anking,100,CN,1586208084,62,30.51,117.05,54.59,2.75
Roebourne,69,AU,1586208084,67,-20.78,117.13,79.11,4.36
Acapulco de Juárez,5,MX,1586208084,70,16.86,-99.89,86,10.29
Coyhaique,40,CL,1586208084,54,-45.58,-72.07,53.6,5.82
Mahébourg,40,MU,1586208085,83,-20.41,57.7,78.01,8.05
Teya,34,RU,1586208141,94,60.38,92.63,26.85,3.22
Cape Town,75,ZA,1586207888,66,-33.93,18.42,55.99,5.82
Mindelo,20,CV,1586208142,73,16.89,-24.98,73.4,17.22
Yenagoa,93,NG,1586208142,87,4.92,6.26,80.58,4.09
Torbay,90,CA,1586208142,80,47.67,-52.73,33.01,25.28
Biak,94,ID,1586208142,70,-0.91,122.88,80.26,3.58
Tuktoyaktuk,90,CA,1586208142,85,69.45,-133.04,24.8,19.46
Shiraoi,75,JP,1586208142,79,42.55,141.35,39.2,2.24
Bereda,100,ES,1586208142,67,43.27,-7.54,59,2.24
Lavrentiya,98,RU,1586208142,85,65.58,-171,3.85,4.14
Port Blair,94,IN,1586208142,73,11.67,92.75,81.72,4.72
Maridi,85,SS,1586208142,56,4.92,29.47,73.94,1.86
